NADH:101 | NAD:99 | ADP:100 | ATP:100 | O2:100 | H2O:101
NADH:101 | NAD:99 | ADP:100 | ATP:100 | O2:100 | H2O:101
NADH:102 | NAD:98 | ADP:100 | ATP:100 | O2:100 | H2O:102
NADH:103 | NAD:97 | ADP:100 | ATP:100 | O2:100 | H2O:103
NADH:104 | NAD:96 | ADP:100 | ATP:100 | O2:100 | H2O:104
NADH:105 | NAD:95 | ADP:100 | ATP:100 | O2:100 | H2O:105
NADH:106 | NAD:94 | ADP:100 | ATP:100 | O2:100 | H2O:106
NADH:107 | NAD:93 | ADP:100 | ATP:100 | O2:100 | H2O:107
NADH:108 | NAD:92 | ADP:100 | ATP:101 | O2:100 | H2O:108
NADH:109 | NAD:91 | ADP:100 | ATP:102 | O2:100 | H2O:109
NADH:110 | NAD:90 | ADP:100 | ATP:103 | O2:100 | H2O:110
NADH:111 | NAD:89 | ADP:100 | ATP:104 | O2:100 | H2O:111
NADH:112 | NAD:88 | ADP:100 | ATP:105 | O2:100 | H2O:112
NADH:113 | NAD:87 | ADP:100 | ATP:106 | O2:100 | H2O:113
NADH:114 | NAD:86 | ADP:100 | ATP:107 | O2:100 | H2O:114
