NADH:181 | NAD:19 | ADP:100 | ATP:167 | O2:100 | H2O:181
NADH:182 | NAD:18 | ADP:100 | ATP:168 | O2:100 | H2O:182
NADH:183 | NAD:17 | ADP:100 | ATP:169 | O2:100 | H2O:183
NADH:184 | NAD:16 | ADP:100 | ATP:170 | O2:100 | H2O:184
NADH:185 | NAD:15 | ADP:100 | ATP:171 | O2:100 | H2O:185
NADH:186 | NAD:14 | ADP:100 | ATP:172 | O2:100 | H2O:186
NADH:187 | NAD:13 | ADP:100 | ATP:173 | O2:100 | H2O:187
NADH:188 | NAD:12 | ADP:100 | ATP:174 | O2:100 | H2O:188
NADH:189 | NAD:11 | ADP:100 | ATP:175 | O2:100 | H2O:189
NADH:190 | NAD:10 | ADP:100 | ATP:176 | O2:100 | H2O:190
NADH:191 | NAD:9 | ADP:100 | ATP:177 | O2:100 | H2O:191
NADH:192 | NAD:8 | ADP:100 | ATP:178 | O2:100 | H2O:192
NADH:193 | NAD:7 | ADP:100 | ATP:179 | O2:100 | H2O:193
NADH:194 | NAD:6 | ADP:100 | ATP:180 | O2:100 | H2O:194
NADH:195 | NAD:5 | ADP:100 | ATP:181 | O2:100 | H2O:195
NADH:196 | NAD:4 | ADP:100 | ATP:182 | O2:100 | H2O:196
NADH:197 | NAD:3 | ADP:100 | ATP:183 | O2:100 | H2O:197
NADH:198 | NAD:2 | ADP:100 | ATP:184 | O2:100 | H2O:198
NADH:199 | NAD:1 | ADP:100 | ATP:185 | O2:100 | H2O:199
NADH:200 | NAD:0 | ADP:100 | ATP:186 | O2:100 | H2O:200
NADH:200 | NAD:0 | ADP:99 | ATP:187 | O2:100 | H2O:201
NADH:200 | NAD:0 | ADP:98 | ATP:188 | O2:100 | H2O:202
NADH:200 | NAD:0 | ADP:97 | ATP:189 | O2:100 | H2O:203
NADH:200 | NAD:0 | ADP:96 | ATP:190 | O2:100 | H2O:204
NADH:200 | NAD:0 | ADP:95 | ATP:191 | O2:100 | H2O:205
NADH:200 | NAD:0 | ADP:94 | ATP:192 | O2:100 | H2O:206
NADH:200 | NAD:0 | ADP:93 | ATP:193 | O2:100 | H2O:207
NADH:200 | NAD:0 | ADP:92 | ATP:194 | O2:100 | H2O:208
NADH:200 | NAD:0 | ADP:91 | ATP:195 | O2:100 | H2O:209
NADH:200 | NAD:0 | ADP:90 | ATP:196 | O2:100 | H2O:210
NADH:200 | NAD:0 | ADP:89 | ATP:197 | O2:100 | H2O:211
NADH:200 | NAD:0 | ADP:88 | ATP:198 | O2:100 | H2O:212
NADH:200 | NAD:0 | ADP:87 | ATP:199 | O2:100 | H2O:213
NADH:200 | NAD:0 | ADP:86 | ATP:200 | O2:100 | H2O:214
NADH:200 | NAD:0 | ADP:85 | ATP:201 | O2:100 | H2O:215
NADH:200 | NAD:0 | ADP:84 | ATP:202 | O2:100 | H2O:216
NADH:200 | NAD:0 | ADP:83 | ATP:203 | O2:100 | H2O:217
NADH:200 | NAD:0 | ADP:82 | ATP:204 | O2:100 | H2O:218
NADH:200 | NAD:0 | ADP:81 | ATP:205 | O2:100 | H2O:219
NADH:200 | NAD:0 | ADP:80 | ATP:206 | O2:100 | H2O:220
NADH:200 | NAD:0 | ADP:79 | ATP:207 | O2:100 | H2O:221
NADH:200 | NAD:0 | ADP:78 | ATP:208 | O2:100 | H2O:222
NADH:200 | NAD:0 | ADP:77 | ATP:209 | O2:100 | H2O:223
NADH:200 | NAD:0 | ADP:76 | ATP:210 | O2:100 | H2O:224
NADH:200 | NAD:0 | ADP:75 | ATP:211 | O2:100 | H2O:225
